condition,relay_depth,depth,handoff_age,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
question_conditioned,5,5,17,6,0.9167,0.75,1.0,0.9722,0.9167,1.0,0.9167,0.75,1.0
question_conditioned,5,5,18,6,0.9167,0.75,1.0,0.9722,0.9167,1.0,0.9167,0.75,1.0
question_omitted,0,0,0,30,0.6389,0.5444,0.7347,0.8109,0.7542,0.8654,0.8986,0.8458,0.9458
question_omitted,0,0,1,30,0.5306,0.3917,0.6694,0.7727,0.6969,0.8463,0.8694,0.7889,0.9417
question_omitted,0,0,2,14,0.7321,0.5179,0.9286,0.8988,0.8107,0.9738,0.9464,0.8571,1.0
question_omitted,0,0,3,6,0.8333,0.5,1.0,0.9556,0.8667,1.0,0.9167,0.75,1.0
question_omitted,1,1,0,30,0.6528,0.5556,0.7472,0.8173,0.7598,0.873,0.9056,0.85,0.9556
question_omitted,1,1,1,30,0.5639,0.4056,0.7167,0.7866,0.6935,0.87,0.8528,0.7333,0.9528
question_omitted,1,1,2,30,0.5389,0.3889,0.6833,0.7479,0.642,0.8428,0.8139,0.6889,0.9222
question_omitted,1,1,3,14,0.8214,0.6429,0.9643,0.931,0.85,0.9881,0.9643,0.8929,1.0
question_omitted,1,1,4,14,0.8036,0.625,0.9643,0.9131,0.8226,0.9857,0.9464,0.8571,1.0
question_omitted,1,1,5,6,0.9167,0.75,1.0,0.9833,0.95,1.0,1.0,1.0,1.0
question_omitted,1,1,6,6,0.9167,0.75,1.0,0.9833,0.95,1.0,1.0,1.0,1.0
question_omitted,3,3,0,30,0.6417,0.55,0.7361,0.8209,0.7655,0.8755,0.9153,0.8625,0.9625
question_omitted,3,3,1,30,0.5639,0.4056,0.7167,0.7727,0.6769,0.8594,0.8306,0.7111,0.9333
question_omitted,3,3,2,30,0.575,0.4222,0.725,0.773,0.6789,0.8578,0.8389,0.7222,0.9389
question_omitted,3,3,3,30,0.5694,0.4167,0.7167,0.7694,0.6758,0.8545,0.8611,0.7556,0.95
question_omitted,3,3,4,30,0.5056,0.3583,0.6583,0.6906,0.5677,0.8044,0.7944,0.6611,0.9167
question_omitted,3,3,5,14,0.75,0.5357,0.9286,0.8778,0.7802,0.9643,0.9464,0.8571,1.0
question_omitted,3,3,6,14,0.7143,0.5179,0.8929,0.8421,0.7488,0.9286,0.9107,0.8214,0.9821
question_omitted,3,3,7,14,0.75,0.5536,0.9107,0.8635,0.7694,0.9492,0.9286,0.8393,1.0
question_omitted,3,3,8,14,0.75,0.5536,0.9107,0.8635,0.7694,0.9492,0.9286,0.8393,1.0
question_omitted,3,3,9,6,0.9167,0.75,1.0,0.9167,0.75,1.0,0.9167,0.75,1.0
question_omitted,3,3,10,6,0.9167,0.75,1.0,0.9167,0.75,1.0,0.9167,0.75,1.0
question_omitted,3,3,11,6,0.9167,0.75,1.0,0.9167,0.75,1.0,0.9167,0.75,1.0
question_omitted,3,3,12,6,0.9167,0.75,1.0,0.9167,0.75,1.0,0.9167,0.75,1.0
question_omitted,5,5,0,30,0.6361,0.5389,0.7361,0.7992,0.7376,0.8588,0.8903,0.8264,0.9458
question_omitted,5,5,1,30,0.5556,0.4027,0.7083,0.7783,0.6856,0.8607,0.8472,0.7278,0.9472
question_omitted,5,5,2,30,0.5722,0.4194,0.7167,0.7772,0.6826,0.8602,0.8389,0.7194,0.9389
question_omitted,5,5,3,30,0.5778,0.4278,0.7222,0.7773,0.6851,0.86,0.8639,0.7556,0.9528
question_omitted,5,5,4,30,0.5722,0.4333,0.7083,0.7575,0.6735,0.837,0.8472,0.7528,0.9306
question_omitted,5,5,5,30,0.5667,0.4306,0.7,0.7505,0.6736,0.8268,0.8194,0.7278,0.9028
question_omitted,5,5,6,30,0.5111,0.3667,0.6528,0.7044,0.614,0.7901,0.7972,0.6972,0.8861
question_omitted,5,5,7,14,0.6964,0.5,0.875,0.8361,0.7349,0.9286,0.8929,0.7857,0.9821
question_omitted,5,5,8,14,0.6429,0.4643,0.8036,0.8024,0.7036,0.8976,0.875,0.7679,0.9643
question_omitted,5,5,9,14,0.6607,0.4643,0.8393,0.8131,0.706,0.9119,0.8929,0.7857,0.9821
question_omitted,5,5,10,14,0.6786,0.4821,0.8571,0.831,0.7202,0.9321,0.9107,0.8036,1.0
question_omitted,5,5,11,14,0.6964,0.5,0.875,0.854,0.7619,0.9369,0.9286,0.8393,1.0
question_omitted,5,5,12,14,0.6786,0.4821,0.8571,0.8607,0.7714,0.9393,0.9286,0.8393,1.0
question_omitted,5,5,13,6,0.8333,0.6667,1.0,0.9,0.7333,1.0,0.9167,0.75,1.0
question_omitted,5,5,14,6,0.8333,0.6667,1.0,0.9,0.7333,1.0,0.9167,0.75,1.0
question_omitted,5,5,15,6,0.8333,0.6667,1.0,0.9,0.7333,1.0,0.9167,0.75,1.0
question_omitted,5,5,16,6,0.8333,0.6667,1.0,0.9,0.7333,1.0,0.9167,0.75,1.0
question_omitted,5,5,17,6,0.8333,0.6667,1.0,0.8333,0.6667,1.0,0.8333,0.6667,1.0
question_omitted,5,5,18,6,0.9167,0.75,1.0,0.9167,0.75,1.0,0.9167,0.75,1.0
