comparison,budget_words,endpoint,metric,tolerance_words,n_contexts_matched,delta,lo,hi,p_value,n,cohens_dz
conditioned_minus_reusable,80,future,em,6,15,-0.049999999999999996,-0.08888888888888886,-0.011111111111111108,0.0113,15,-0.6591530616030616
conditioned_minus_reusable,80,future,f1,6,15,-0.07332038640371973,-0.1163400750030652,-0.032632023078591685,0.0004,15,-0.8726256012372067
conditioned_minus_reusable,80,future,judge_correct,6,15,-0.0722222222222222,-0.12777777777777777,-0.005555555555555547,0.0298,15,-0.5583242384172623
reusable_minus_generic,80,now,em,6,15,0.18333333333333332,0.06666666666666667,0.3,0.0025,15,0.7629748253988723
reusable_minus_generic,80,now,f1,6,15,0.2463833497715077,0.1275086371509069,0.36166787823037827,0.0,15,1.0229326081582568
reusable_minus_generic,80,now,judge_correct,6,15,0.26666666666666666,0.11666666666666667,0.4,0.0003,15,0.9172320066322425
reusable_minus_generic,80,future,em,6,15,-0.07777777777777778,-0.1611111111111111,0.01666666666666665,0.0846,15,-0.42061635410864534
reusable_minus_generic,80,future,f1,6,15,-0.060093486850839775,-0.14365511263427924,0.036779557241505695,0.1922,15,-0.31910549320909665
reusable_minus_generic,80,future,judge_correct,6,15,-0.11111111111111113,-0.20555555555555555,-0.016666666666666673,0.0189,15,-0.5673086289311756
conditioned_minus_generic,160,now,em,6,13,0.21153846153846154,0.038461538461538464,0.40384615384615385,0.0312,13,0.6021937915964948
conditioned_minus_generic,160,now,f1,6,13,0.22819491761799454,0.08032511381069081,0.3799752206482976,0.0034,13,0.7877094949730732
conditioned_minus_generic,160,now,judge_correct,6,13,0.17307692307692307,0.038461538461538464,0.3076923076923077,0.0152,13,0.6711311740834958
conditioned_minus_generic,160,future,em,6,13,-0.2115384615384615,-0.391025641025641,-0.02564102564102561,0.0264,13,-0.6050379561178988
conditioned_minus_generic,160,future,f1,6,13,-0.21090167282696018,-0.3829335112524766,-0.04124217536933054,0.017,13,-0.6441597087453499
conditioned_minus_generic,160,future,judge_correct,6,13,-0.24358974358974358,-0.423076923076923,-0.07051282051282048,0.0071,13,-0.725269205911188
conditioned_minus_reusable,160,now,em,6,13,-0.038461538461538464,-0.15384615384615385,0.057692307692307696,0.5885,13,-0.19215378456610457
conditioned_minus_reusable,160,now,f1,6,13,-0.016569808396731476,-0.09340659340659342,0.05193452380952381,0.6566,13,-0.11648557118225261
conditioned_minus_reusable,160,now,judge_correct,6,13,-0.019230769230769232,-0.07692307692307693,0.038461538461538464,0.7559,13,-0.15585730003983933
conditioned_minus_reusable,160,future,em,6,13,-0.141025641025641,-0.23076923076923078,-0.05128205128205128,0.0025,13,-0.8227533512074422
conditioned_minus_reusable,160,future,f1,6,13,-0.13846808789337522,-0.2399332264957265,-0.034172390109890094,0.0079,13,-0.703125061187107
conditioned_minus_reusable,160,future,judge_correct,6,13,-0.1282051282051282,-0.24999999999999994,-0.006410256410256396,0.0406,13,-0.55796453829575
reusable_minus_generic,160,now,em,6,13,0.25,0.09615384615384616,0.4423076923076923,0.0083,13,0.7385489458759964
reusable_minus_generic,160,now,f1,6,13,0.244764726014726,0.10697152962777966,0.4081864258426758,0.0026,13,0.847191414066816
reusable_minus_generic,160,now,judge_correct,6,13,0.19230769230769232,0.09615384615384616,0.3076923076923077,0.0007,13,0.9245003270420485
reusable_minus_generic,160,future,em,6,13,-0.0705128205128205,-0.1987179487179487,0.07051282051282051,0.3279,13,-0.2725133069319584
reusable_minus_generic,160,future,f1,6,13,-0.07243358493358495,-0.18408539377289368,0.054041988104488056,0.2356,13,-0.3158911396413962
reusable_minus_generic,160,future,judge_correct,6,13,-0.11538461538461536,-0.23076923076923078,0.006410256410256447,0.0661,13,-0.49190610954977704
