policy,budget_words,floor_words,n_messages,delivered_words_mean,delivered_words_sd,delivered_words_min,delivered_words_max,fill_ratio_mean,under_floor_rate,over_budget_rate,truncated_rate,correction_rate,shrink_corrections_mean,expand_corrections_mean,repetition_rate_mean,budget_tokens,api_max_tokens,completion_tokens_mean,delivered_estimated_tokens_mean,any_over_budget_delivered
extractive_generic,80,68,24,73.33333333333333,4.135389857723491,65.0,80.0,0.9166666666666666,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.5416666666666666,0.7083333333333334,0.20833333333333334,0.0,108,238,199.375,125.29166666666667,False
extractive_generic,160,136,24,143.75,6.374200717157304,136.0,159.0,0.8984375,0.0,0.0,0.0,0.7916666666666666,0.08333333333333333,0.9166666666666666,0.0034079166666666667,216,475,357.5,244.08333333333334,False
generic,20,17,24,18.708333333333332,1.0417028979206269,17.0,20.0,0.9354166666666668,0.0,0.0,0.0,0.5,0.6666666666666666,0.041666666666666664,0.0,27,128,47.0,34.208333333333336,False
generic,40,34,24,37.125,1.8012676695569996,34.0,40.0,0.928125,0.0,0.0,0.0,0.375,0.6666666666666666,0.08333333333333333,0.0,54,128,96.20833333333333,67.08333333333333,False
generic,80,68,24,71.91666666666667,4.353076539910462,62.0,80.0,0.8989583333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.25,0.125,0.20833333333333334,0.0,108,238,132.66666666666666,130.75,False
generic,160,136,24,141.41666666666666,4.292730626522477,136.0,153.0,0.8838541666666666,0.0,0.0,0.0,0.5833333333333334,0.0,0.6666666666666666,0.0026451666666666668,216,475,300.4583333333333,249.5,False
generic@trim,40,34,24,24.75,7.9084434790209865,10.0,35.0,0.61875,0.0,0.0,0.875,0.375,0.6666666666666666,0.08333333333333333,0.0,54,128,96.20833333333333,67.08333333333333,False
oracle,20,17,24,18.125,2.2710369208033967,12.0,20.0,0.90625,0.125,0.16666666666666666,0.16666666666666666,0.75,1.4166666666666667,0.125,0.0,27,128,86.20833333333333,33.166666666666664,False
oracle,40,34,24,37.916666666666664,1.7916877315917057,34.0,40.0,0.9479166666666669,0.0,0.0,0.0,0.75,0.75,0.08333333333333333,0.0,54,128,107.33333333333333,66.83333333333333,False
oracle,80,68,24,73.83333333333333,3.7261317704845722,68.0,80.0,0.9229166666666666,0.0,0.0,0.0,0.4583333333333333,0.125,0.5416666666666666,0.0009803750000000001,108,238,160.20833333333334,128.16666666666666,False
oracle,160,136,24,143.375,4.679395167159403,137.0,152.0,0.89609375,0.0,0.0,0.0,0.75,0.041666666666666664,1.0416666666666667,0.004879583333333333,216,475,372.5416666666667,249.91666666666666,False
oracle@trim,40,34,24,24.333333333333332,6.478504032008749,10.0,34.0,0.6083333333333333,0.0,0.0,0.9583333333333334,0.75,0.75,0.08333333333333333,0.0,54,128,107.33333333333333,66.83333333333333,False
reusable,20,17,96,18.5625,1.0742194228466793,17.0,20.0,0.928125,0.0,0.010416666666666666,0.010416666666666666,0.3854166666666667,0.09375,0.375,0.0,27,128,37.895833333333336,32.802083333333336,False
reusable,40,34,96,36.333333333333336,3.7826937398928506,10.0,40.0,0.9083333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.5416666666666666,0.2604166666666667,0.5416666666666666,0.0,54,128,87.27083333333333,63.958333333333336,False
reusable,80,68,96,73.22916666666667,3.3856637899008244,68.0,80.0,0.9153645833333334,0.0,0.0,0.0,0.5833333333333334,0.09375,0.6041666666666666,0.0009876458333333334,108,238,154.90625,128.1875,False
reusable,160,136,96,143.5625,5.507530729541335,136.0,158.0,0.8972656250000001,0.0,0.0,0.0,0.78125,0.0,0.9895833333333334,0.005199135416666666,216,475,345.0833333333333,251.6875,False
reusable@trim,40,34,96,27.427083333333332,9.12918373207786,3.0,36.0,0.6856770833333333,0.020833333333333332,0.020833333333333332,0.84375,0.5416666666666666,0.2604166666666667,0.5416666666666666,0.0,54,128,87.27083333333333,63.958333333333336,False
