mode,from_stage,to_stage,depth,edge_type,n,lexical_similarity,lexical_similarity_lo,lexical_similarity_hi,lexical_change,lexical_change_lo,lexical_change_hi,novel_token_rate,novel_token_rate_lo,novel_token_rate_hi,ngram_copy_rate,ngram_copy_rate_lo,ngram_copy_rate_hi,retained_token_rate,retained_token_rate_lo,retained_token_rate_hi,length_ratio,length_ratio_lo,length_ratio_hi,semantic_preserved,semantic_preserved_lo,semantic_preserved_hi,fact_A_survived,fact_A_survived_lo,fact_A_survived_hi,fact_B_survived,fact_B_survived_lo,fact_B_survived_hi,fact_A_lost_here,fact_A_lost_here_lo,fact_A_lost_here_hi,fact_B_lost_here,fact_B_lost_here_lo,fact_B_lost_here_hi,target_f1,target_f1_lo,target_f1_hi,heldout_f1,heldout_f1_lo,heldout_f1_hi,target_judge_correct,target_judge_correct_lo,target_judge_correct_hi,heldout_judge_correct,heldout_judge_correct_lo,heldout_judge_correct_hi,label_target_benign_paraphrase,label_target_critical_detail_loss,label_target_information_loss,label_target_semantic_drift,label_target_verbatim_copy,label_target_unresolved
generic,2,3,3,message_rewrite,10,0.9093,0.868,0.9459,0.0907,0.0541,0.132,0.0333,0.0141,0.0543,0.7662,0.677,0.8488,0.8629,0.8001,0.9187,0.8874,0.8259,0.9461,1.0,1.0,1.0,0.7,0.4,1.0,0.9,0.7,1.0,0.1,0.0,0.3,0.0,0.0,0.0,0.6324,0.3524,0.8724,0.95,0.85,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.5,0.3,0.0,0.0,0.2,0.0
generic,3,4,4,message_rewrite,10,0.8985,0.8425,0.9467,0.1015,0.0533,0.1575,0.0513,0.0264,0.0794,0.7267,0.6049,0.8368,0.8639,0.7738,0.9413,0.9205,0.8265,1.015,1.0,1.0,1.0,0.7,0.4,1.0,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467,0.3667,0.9,0.85,0.65,1.0,0.8,0.5,1.0,0.9,0.7,1.0,0.5,0.2,0.0,0.0,0.3,0.0
generic,4,5,5,message_rewrite,10,0.822,0.7427,0.9012,0.1779,0.0988,0.2573,0.2054,0.0838,0.3393,0.6131,0.493,0.7571,0.9037,0.8369,0.9628,1.2751,0.9714,1.62,0.85,0.7,1.0,0.7,0.4,1.0,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467,0.3667,0.9,0.95,0.85,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.3,0.2,0.0,0.3,0.2,0.0
generic,5,6,6,message_rewrite,10,0.9464,0.9157,0.9759,0.0536,0.024,0.0843,0.0595,0.023,0.1028,0.8031,0.6983,0.9008,0.9551,0.9211,0.9851,1.0266,0.9838,1.0924,1.0,1.0,1.0,0.7,0.4,1.0,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467,0.3667,0.9,0.85,0.65,1.0,0.8,0.5,1.0,0.9,0.7,1.0,0.4,0.1,0.0,0.0,0.5,0.0
generic,6,7,7,message_rewrite,10,0.9535,0.923,0.9784,0.0465,0.0216,0.077,0.0376,0.0161,0.0614,0.8423,0.7559,0.9209,0.9461,0.9032,0.9777,0.9762,0.9345,1.0078,1.0,1.0,1.0,0.7,0.4,1.0,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467,0.3667,0.9,0.85,0.65,1.0,0.8,0.5,1.0,0.9,0.7,1.0,0.1,0.2,0.0,0.0,0.7,0.0
generic,7,8,8,message_rewrite,10,0.9667,0.9331,0.996,0.0333,0.004,0.0669,0.0267,0.0036,0.0553,0.8774,0.746,0.9798,0.9604,0.9214,0.9958,0.9916,0.9838,0.9981,1.0,1.0,1.0,0.7,0.4,1.0,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467,0.3667,0.9,0.85,0.65,1.0,0.8,0.5,1.0,0.9,0.7,1.0,0.1,0.2,0.0,0.0,0.7,0.0
generic,8,9,9,message_rewrite,10,0.9742,0.9488,0.995,0.0258,0.005,0.0512,0.0279,0.0053,0.0554,0.8935,0.7919,0.9768,0.9769,0.9495,0.9963,1.0051,0.9977,1.0157,1.0,1.0,1.0,0.7,0.4,1.0,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467,0.3667,0.9,0.95,0.85,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.8,0.0
generic,9,10,10,message_rewrite,10,0.9173,0.8514,0.9747,0.0827,0.0253,0.1486,0.0879,0.0136,0.1731,0.8335,0.6986,0.9488,0.9431,0.8613,0.9939,1.052,0.9208,1.1847,0.95,0.85,1.0,0.7,0.4,1.0,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467,0.3667,0.9,0.85,0.65,1.0,0.8,0.5,1.0,0.9,0.7,1.0,0.2,0.1,0.0,0.1,0.6,0.0
paraphrase,0,1,1,source_compression,10,0.6968,0.6552,0.7322,0.3032,0.2678,0.3448,0.3507,0.3059,0.4075,0.1334,0.0899,0.1781,0.7653,0.7103,0.8124,1.2174,1.0894,1.3401,1.0,1.0,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.1,0.0,0.3,0.3,0.0,0.6,0.815,0.59,1.0,0.7,0.45,0.95,1.0,1.0,1.0,0.9,0.7,1.0,0.9,0.1,0.0,0.0,0.0,0.0
paraphrase,1,2,2,message_rewrite,10,0.954,0.93,0.9763,0.046,0.0237,0.07,0.0632,0.0314,0.096,0.8609,0.802,0.9202,0.9736,0.9468,0.9929,1.0456,1.0078,1.0883,0.95,0.85,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.6195,1.0,0.8,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.1,0.6,0.0
paraphrase,2,3,3,message_rewrite,10,0.908,0.8383,0.9634,0.092,0.0366,0.1617,0.0793,0.0239,0.1529,0.8473,0.7504,0.9294,0.9216,0.8199,0.9866,1.014,0.8541,1.1634,1.0,1.0,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775,0.5,1.0,0.7667,0.5,1.0,0.9,0.7,1.0,0.9,0.7,1.0,0.4,0.1,0.0,0.0,0.5,0.0
paraphrase,3,4,4,message_rewrite,10,0.945,0.8763,0.9895,0.055,0.0105,0.1237,0.0789,0.0141,0.1811,0.8821,0.7956,0.9617,0.987,0.9728,0.9985,1.1229,1.0009,1.3311,1.0,1.0,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3667,0.9,0.6833,0.4333,0.9,0.8,0.5,1.0,0.9,0.7,1.0,0.2,0.1,0.0,0.0,0.7,0.0
paraphrase,4,5,5,message_rewrite,10,0.9827,0.9574,0.9982,0.0173,0.0018,0.0426,0.0158,0.0028,0.0356,0.9523,0.8956,0.9921,0.9813,0.9512,1.0,1.0001,0.9891,1.0089,1.0,1.0,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.5,1.0,0.7,0.4,1.0,0.9,0.7,1.0,0.9,0.7,1.0,0.1,0.0,0.0,0.0,0.9,0.0
paraphrase,5,6,6,message_rewrite,10,0.966,0.9394,0.9885,0.034,0.0115,0.0606,0.0373,0.0034,0.0829,0.9409,0.8973,0.9784,0.9742,0.938,0.9955,1.0237,0.9604,1.0985,1.0,1.0,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8286,0.5857,1.0,0.7167,0.45,0.95,0.9,0.7,1.0,0.9,0.7,1.0,0.2,0.1,0.0,0.0,0.7,0.0
paraphrase,6,7,7,message_rewrite,10,0.9679,0.9487,0.986,0.0321,0.0141,0.0513,0.0347,0.0092,0.068,0.9166,0.8629,0.9707,0.9727,0.9471,0.9929,1.0112,0.9659,1.0625,1.0,1.0,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3667,0.9,0.7167,0.45,0.95,0.8,0.5,1.0,0.9,0.7,1.0,0.1,0.2,0.0,0.0,0.7,0.0
paraphrase,7,8,8,message_rewrite,10,0.9666,0.9383,0.9911,0.0334,0.0089,0.0617,0.0119,0.0025,0.0224,0.9535,0.9165,0.9889,0.9489,0.8986,0.9901,0.9616,0.9085,1.0002,1.0,1.0,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.6195,1.0,0.7167,0.45,0.95,1.0,1.0,1.0,0.9,0.7,1.0,0.2,0.1,0.0,0.0,0.7,0.0
paraphrase,8,9,9,message_rewrite,10,0.949,0.8726,1.0,0.051,0.0,0.1274,0.0773,0.0,0.1932,0.9314,0.8364,1.0,0.9937,0.9815,1.0,1.129,0.9996,1.3242,1.0,1.0,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,1.0,0.7167,0.45,0.95,0.9,0.7,1.0,0.9,0.7,1.0,0.1,0.1,0.0,0.0,0.8,0.0
paraphrase,9,10,10,message_rewrite,10,0.9839,0.97,0.9956,0.0161,0.0044,0.03,0.0277,0.0057,0.0548,0.9591,0.9333,0.9835,0.9967,0.9933,1.0,1.0276,1.0011,1.0605,1.0,1.0,1.0,0.9,0.7,1.0,0.7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.6195,1.0,0.7167,0.45,0.95,1.0,1.0,1.0,0.9,0.7,1.0,0.2,0.0,0.0,0.0,0.8,0.0
passthrough,0,1,1,source_compression,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
passthrough,1,2,2,message_rewrite,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
passthrough,2,3,3,message_rewrite,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
passthrough,3,4,4,message_rewrite,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
passthrough,4,5,5,message_rewrite,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
passthrough,5,6,6,message_rewrite,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
passthrough,6,7,7,message_rewrite,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
passthrough,7,8,8,message_rewrite,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
passthrough,8,9,9,message_rewrite,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
passthrough,9,10,10,message_rewrite,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.89,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
